N E X T F L O W  ~  version 21.10.6
Launching `/czlab/xuwen/scripts/Pre-fasta2ubam/fasta2ubam.nf` [distracted_wing] - revision: dbad6288c0
[9b/e35a5a] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[5b/7055e3] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[db/7b8039] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[cc/6650fa] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[25/090969] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[5b/ec2f8b] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[67/54bdaa] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[3f/85748b] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[41/70cb19] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[7d/db6598] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[e7/8706e1] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[f9/06b3c2] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[52/b3446a] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[f2/fd373b] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[d6/3171ff] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[54/08bc15] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[40/b205d7] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[6f/21be8e] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[94/a23838] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[10/1c94b5] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[20/9ce1a2] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[d8/2b388d] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[01/1f2653] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[ec/700426] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[47/8cdf43] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[2d/fd545e] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[1b/e1c0e9] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[92/2f05a4] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[69/83acd0] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[06/cab953] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[c7/28ce83] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[55/31989c] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[0a/4067a6] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[a4/da3799] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[69/eb8e21] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[ab/efb6d5] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[04/7db088] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[f2/fa9274] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[47/84304c] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[54/285cc5] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[67/6c2db3] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[95/7f027c] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[0c/18386b] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[16/6fc875] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
