N E X T F L O W  ~  version 21.10.6
Launching `/czlab/xuwen/scripts/PreP-ubam2bam-BWA-variant-GATK4/processing-for-variant-discovery-gatk4MT2T.nf` [crazy_lichterman] - revision: b3005fa5b5
[78/2317cf] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[05/8a3342] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[83/4b67ff] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[17/e863a6] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[5e/34aabf] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[34/149e32] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[14/384b58] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[ca/d09d62] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[e0/636063] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[25/7b1ba7] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[ed/3df0fe] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[6c/0d7a79] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[9b/65c287] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[1b/8ff1cd] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[a5/d7d1b1] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[09/81a178] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[19/5fbfa7] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[d6/b6fda9] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[22/56ff0f] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[ee/5364fb] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[8e/b97c1c] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[bc/6153c3] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[21/52ea73] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[15/d9e706] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ad/9aa9f3] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[02/6af7f4] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[01/26a683] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[18/263a8b] Cached process > preprocessing_mapping:markDuplicates (NA12878)
[b6/036130] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[01/0a285a] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[a8/84059a] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[92/a62539] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[dc/3e62be] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[11/1024d8] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[a7/c77d10] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[97/0bc337] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[46/750a0e] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[dc/99f442] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[41/057bdb] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[ac/1abbe0] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[94/f36f27] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[82/29cea9] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[8e/84c166] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[14/e9abf2] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[a9/9c80db] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[92/ee1bc4] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[3c/2e3671] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[61/5750bf] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[92/b5715a] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[08/88bc3b] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[20/d38227] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[6d/a7ca5b] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[81/622e7a] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[04/da6f73] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[23/1860c5] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[58/50b54c] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[2b/b50ebf] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
