task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2740	e7/c96ca1	4686888	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:22:51.371	12m 53s	3m 5s	257.2%	5.6 GB	35.8 GB	6.2 GB	3.2 GB
2744	dd/3f8d42	4686855	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:19:15.815	22m 34s	12m 30s	93.2%	5.4 GB	33.8 GB	6.4 GB	3.3 GB
2743	ba/018ccd	4687328	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 14:02:12.645	6m 58s	3m 34s	245.2%	5.3 GB	35.6 GB	6.5 GB	3.4 GB
2750	83/83addf	4686833	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:17:05.332	14m 5s	3m 54s	257.4%	5.3 GB	35.6 GB	6.7 GB	3.6 GB
2746	fe/8e4248	4687028	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:41:10.451	14m	3m 13s	243.1%	5.6 GB	35.2 GB	5.8 GB	2.8 GB
2748	2b/bb6667	4687013	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:39:10.849	14m 9s	4m 2s	247.2%	5.6 GB	35.2 GB	6.5 GB	3.5 GB
2749	2c/72fc99	4686893	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:23:10.622	13m 39s	3m 22s	251.5%	5.7 GB	36.6 GB	6.6 GB	3.6 GB
2751	f1/cf28bc	4686827	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:16:10.517	14m 39s	3m 55s	250.6%	5.9 GB	37.5 GB	6.7 GB	3.6 GB
2752	d8/1d3518	4686828	preprocessing_mapping:sortAndFixTags (NA12878)	CACHED	0	2023-06-23 13:16:10.997	14m 44s	4m 12s	244.1%	5.5 GB	35 GB	6.6 GB	3.6 GB
2728	c0/eb43a3	4685940	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:23:19.560	10m	53s	317.9%	4.7 GB	19.8 GB	616 MB	286.1 MB
2731	71/e4d552	4685971	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:27:09.834	11m 19s	2m 53s	203.3%	6.4 GB	20 GB	2.2 GB	1.1 GB
2735	31/36efab	4685959	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:25:14.739	9m 35s	45s	336.3%	5.3 GB	19.6 GB	532.6 MB	244.4 MB
2733	ff/78d235	4686021	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:32:45.081	12m 39s	3m 28s	196.7%	6.4 GB	20.4 GB	2.1 GB	1 GB
2727	7c/1820d6	4685956	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:25:10.622	14m 59s	5m 45s	123.8%	6.4 GB	19.7 GB	2.1 GB	1 GB
2755	a3/4157ec	4685964	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:26:09.970	11m 49s	2m 51s	199.7%	6.4 GB	20.1 GB	2.1 GB	1 GB
2737	85/f11016	4685975	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:27:54.932	10m 49s	2m 49s	211.6%	6.3 GB	20 GB	2.1 GB	1.1 GB
2764	33/7da2f8	4686212	preprocessing_mapping:markDuplicates (NA12878)	CACHED	0	2023-06-23 11:56:04.716	12m 40s	3m 34s	179.3%	6.4 GB	20.6 GB	2.1 GB	1 GB
