N E X T F L O W  ~  version 21.10.6
Launching `/czlab/xuwen/scripts/PreP-ubam2bam-BWA-variant-GATK4/processing-for-variant-discovery-gatk4Mhg38.nf` [sleepy_poitras] - revision: 7b5debd944
[5c/eb0a46] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[c3/2982d0] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[40/d4c2c1] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[e4/30be00] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[73/9f6050] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[09/0e6b30] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[4a/677498] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[5b/b273eb] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[c4/bfaa5b] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[bb/6a8545] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b5/99afed] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[8a/1d7170] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[4d/3dbf21] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[24/36fc18] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f0/e6511a] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[e1/fb504c] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[92/51eff5] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b4/3ed3d0] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[5d/e1f572] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[51/b62aa4] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[cd/1a7823] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[4a/1fac43] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[1c/cb7ed0] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[52/4ad304] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[28/fda53e] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ce/e0984e] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[81/2f4ff2] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[a7/e8cac2] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[73/e154a7] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[59/1a28dc] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[4e/931fe9] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[1f/4f181b] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f7/cd2d57] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[0b/b891d6] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b3/10afd6] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b6/a5aa69] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[5f/0ed0bc] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[37/3450f0] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[aa/b16b71] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[81/b09770] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[8c/bbf549] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[19/9e3e3c] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[e0/1f0009] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[86/13301b] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[69/c9e1fd] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[8d/a312d3] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ce/e62022] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[30/a08705] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[cb/884944] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[15/34c6c3] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ef/004d3f] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[92/907769] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[90/a99485] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[12/35af4e] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[e2/907738] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f3/41af1a] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[9a/63bde6] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[0f/ce2173] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[2d/ec430f] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[51/3076b7] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[a9/3fcff9] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[3e/eb7dfc] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ad/f75b4f] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[3e/2a8dd8] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[a5/7c4c57] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[71/fe874f] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[e0/778be0] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[38/78bcb1] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[33/8735c6] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ba/7a9554] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[6f/f6ea5c] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f2/afc2ee] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b5/20e687] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b2/094c8f] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
